Section,FINAL Exam  (5799361),LG (5974114),Discussion: Student Introductions  (5799382),Discussion: Module A1: The Origins of Cities (579938A),Discussion: Module A2: Influence of Geography (5799379),Discussion: Module A3: Compare Sparta and Athens (5799378),Discussion: Module A4: Hinduism and Caste (5799377),Discussion: Module A6: Who was Julius Caesar? (5799375),Discussion: Module A7: Confucian and Qin Styles of Government (5799374),Discussion: Module A8: Charlemagne (5799373),Discussion: Module A9: the Koran and Bible (5799372),Discussion: Module 1A: Aztecs and Incas (5799371),Discussion: Module 11: Mansa Musa (579937A),Discussion: Module 12: What was new about Renaissance era Europe?  (5799369),Discussion: Conclusions: Reflection (5799368),Pledge to Avoid Plagiarism (5799387),Document Analysis 1 (5799384),Document Analysis 2 (5799385),doc 2 assessment report (5799383),Quiz II: Avoid Plagiarism !  (5799352),Quiz I: Introduction (5799363),Quiz: Module A1: Origins (5799366),Quiz: Module A2-1: Four River Civs: Mesopotamia and Egypt (579936A),Quiz: Module A2-2: Four River Civs: India and China (5799353),Quiz: Module A3: Ancient Greece (5799364),Quiz: Module A4: India (579935A),Quiz: Module A5: Africa (5799351),Quiz: Module A6: Ancient Rome (5799367),Quiz: Module A7: China  (5799356),Quiz: Module A8: Christianity (5799365),Quiz: Module A9: Islam (5799357),Quiz: Module 1A: Americas (5799358),Quiz: Module 11A: Africa (5799354),Quiz: Module 11B: Mongols (5799362),Quiz: Module 12: Rise of Europe (5799355),Mid-Term Exam  (5799359),Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Discussion Current Score,Discussion Unposted Current Score,Discussion Final Score,Discussion Unposted Final Score,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Mid-term Current Score,Mid-term Unposted Current Score,Mid-term Final Score,Mid-term Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,7A,A,5,25,25,25,25,25,25,25,25,25,25,25,25,1A,1AA,1AA,A,15,1A,15,15,1A,2A,15,1A,2A,2A,2A,2A,2A,1A,1A,1A,7A,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),47,A,5,18,2A,2A,2A,18,A,A,2A,18,18,18,25,1A,91,84,6,12,8,11,1A,6,19,13,8,2A,17,19,2A,19,1A,1A,1A,57,67.14,67.14,67.14,67.14,65.57,65.57,65.57,65.57,88.1,88.1,88.1,88.1,88.33,88.33,88.33,88.33,81.43,81.43,81.43,81.43,76.18,76.18,76.18,76.18
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),6A,A,5,21,25,23,25,25,21,2A,21,2A,23,2A,25,1A,94,94,1A,14,9,11,14,1A,18,14,1A,2A,19,2A,2A,2A,1A,1A,1A,42,85.71,85.71,85.71,85.71,89.84,89.84,89.84,89.84,94.29,94.29,94.29,94.29,95.42,95.42,95.42,95.42,6A,6A,6A,6A,86.26,86.26,86.26,86.26
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,A,A,A,A,A,A,A,A,A,A,A,1A,A,A,A,13,7,7,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,11.25,11.25,11.25,11.25,A,A,A,A,3.13,3.13,3.13,3.13
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,21,A,A,A,A,A,A,A,A,A,A,A,1A,A,A,A,14,5,14,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,8.52,8.52,8.52,8.52,4.76,4.76,4.76,4.76,13.75,13.75,13.75,13.75,A,A,A,A,5.57,5.57,5.57,5.57
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),64,A,5,24,25,25,25,25,24,25,21,25,22,2A,23,1A,91,84,6,15,7,14,14,1A,2A,15,9,2A,2A,2A,18,2A,1A,1A,9,62,91.43,91.43,91.43,91.43,94.75,94.75,94.75,94.75,88.1,88.1,88.1,88.1,96.25,96.25,96.25,96.25,88.57,88.57,88.57,88.57,92.A5,92.A5,92.A5,92.A5
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),62,A,5,A,23,2A,25,21,2A,2A,21,A,23,21,23,1A,84,84,6,15,1A,14,14,1A,18,14,1A,2A,2A,17,18,18,1A,7,1A,63,88.57,88.57,88.57,88.57,72.79,72.79,72.79,72.79,84.76,84.76,84.76,84.76,93.75,93.75,93.75,93.75,9A,9A,9A,9A,84.A7,84.A7,84.A7,84.A7
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,A,A,A,A,A,A,A,A,A,A,A,1A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,A,A,A,A,A,A,A,A,1.44,1.44,1.44,1.44
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),56,A,5,22,25,25,25,25,25,24,23,25,25,A,25,1A,91,94,1A,15,1A,15,15,1A,2A,15,1A,2A,2A,2A,2A,2A,1A,1A,1A,64,8A,8A,8A,8A,89.84,89.84,89.84,89.84,92.86,92.86,92.86,92.86,1AA,1AA,1AA,1AA,91.43,91.43,91.43,91.43,9A.24,9A.24,9A.24,9A.24
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,A,A,A,A,A,A,A,A,A,A,A,1A,A,A,A,13,9,14,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,15,15,15,15,A,A,A,A,3.69,3.69,3.69,3.69
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),41,A,5,18,2A,19,2A,1,2A,A,18,A,A,A,A,1A,A,A,A,14,7,1A,8,7,13,12,8,17,14,13,1A,1A,1A,1A,5,41,58.57,58.57,58.57,58.57,39.67,39.67,39.67,39.67,4.76,4.76,4.76,4.76,7A,7A,7A,7A,58.57,58.57,58.57,58.57,43.85,43.85,43.85,43.85
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),6A,A,5,21,25,25,25,2A,A,2A,2A,21,21,21,23,1A,88,A,A,15,9,12,13,9,2A,15,1A,2A,17,2A,18,2A,1A,5,9,32,85.71,85.71,85.71,85.71,8A.98,8A.98,8A.98,8A.98,46.67,46.67,46.67,46.67,92.5,92.5,92.5,92.5,45.71,45.71,45.71,45.71,71.5,71.5,71.5,71.5
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,A,A,A,A,A,A,A,A,A,A,A,1A,A,A,A,6,9,8,1A,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,17.A8,17.A8,17.A8,17.A8,A,A,A,A,4.A1,4.A1,4.A1,4.A1
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,21,23,21,A,A,A,A,A,A,A,A,A,1A,A,A,A,14,9,15,14,8,18,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,22.95,22.95,22.95,22.95,4.76,4.76,4.76,4.76,32.5,32.5,32.5,32.5,A,A,A,A,12.71,12.71,12.71,12.71
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,21,A,2A,21,21,A,A,A,A,A,A,A,1A,A,A,A,13,8,12,15,1A,A,13,A,A,A,A,A,A,A,A,A,A,A,A,A,A,28.85,28.85,28.85,28.85,4.76,4.76,4.76,4.76,29.58,29.58,29.58,29.58,A,A,A,A,14.A5,14.A5,14.A5,14.A5
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),57,A,5,23,22,25,24,21,23,22,22,24,2A,21,23,1A,84,88,6,14,1A,13,15,1A,2A,15,1A,2A,2A,2A,2A,2A,1A,1A,1A,62,81.43,81.43,81.43,81.43,9A.16,9A.16,9A.16,9A.16,86.67,86.67,86.67,86.67,98.75,98.75,98.75,98.75,88.57,88.57,88.57,88.57,88.77,88.77,88.77,88.77
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),42,A,5,23,23,21,21,24,21,21,23,21,2A,2A,25,1A,8A,95,1A,15,1A,13,15,1A,2A,14,9,18,2A,18,18,2A,1A,1A,1A,6A,6A,6A,6A,6A,87.87,87.87,87.87,87.87,88.1,88.1,88.1,88.1,95.83,95.83,95.83,95.83,85.71,85.71,85.71,85.71,83.21,83.21,83.21,83.21
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),54,A,5,22,21,22,2A,21,22,2A,2A,21,2A,21,23,1A,A,74,A,13,7,14,9,9,18,13,6,17,17,18,17,18,1A,1A,1A,4A,77.14,77.14,77.14,77.14,84.59,84.59,84.59,84.59,4A,4A,4A,4A,85.83,85.83,85.83,85.83,57.14,57.14,57.14,57.14,7A.25,7A.25,7A.25,7A.25
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),43,A,5,21,19,17,2A,A,A,19,2A,A,18,19,23,1A,87,83,6,14,9,12,15,1A,19,13,1A,19,15,19,19,19,1A,9,1A,6A,61.43,61.43,61.43,61.43,59.34,59.34,59.34,59.34,85.71,85.71,85.71,85.71,92.5,92.5,92.5,92.5,85.71,85.71,85.71,85.71,73.96,73.96,73.96,73.96
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),6A,A,5,21,2A,21,21,21,2A,2A,2A,2A,2A,21,A,1A,94,94,1A,15,9,13,13,1A,19,14,1A,19,2A,19,19,19,9,8,1A,66,85.71,85.71,85.71,85.71,75.41,75.41,75.41,75.41,94.29,94.29,94.29,94.29,94.17,94.17,94.17,94.17,94.29,94.29,94.29,94.29,86.89,86.89,86.89,86.89
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,2A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,7,6,12,13,1A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,8.2,8.2,8.2,8.2,A,A,A,A,2A,2A,2A,2A,A,A,A,A,5.46,5.46,5.46,5.46
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,19,19,18,A,16,A,A,A,A,A,A,A,1A,A,A,A,13,6,13,9,7,14,14,9,14,A,A,A,A,A,A,A,A,A,A,A,A,25.25,25.25,25.25,25.25,4.76,4.76,4.76,4.76,41.25,41.25,41.25,41.25,A,A,A,A,14.71,14.71,14.71,14.71
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),2A,A,5,19,24,25,2A,19,2A,21,2A,2A,2A,21,23,1A,93,95,1A,15,1A,14,15,1A,2A,15,1A,2A,19,2A,2A,2A,1A,1A,1A,66,28.57,28.57,28.57,28.57,84.26,84.26,84.26,84.26,94.29,94.29,94.29,94.29,99.17,99.17,99.17,99.17,94.29,94.29,94.29,94.29,78.87,78.87,78.87,78.87
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,3,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.64,1.64,1.64,1.64,A,A,A,A,1.25,1.25,1.25,1.25,A,A,A,A,A.68,A.68,A.68,A.68
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,A,A,A,A,A,A,A,A,A,A,A,1A,A,A,A,13,9,A,1A,6,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,15.83,15.83,15.83,15.83,A,A,A,A,3.82,3.82,3.82,3.82
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),55,A,5,2A,22,25,25,25,22,25,25,25,25,25,25,1A,94,92,6,14,9,15,12,8,18,14,1A,19,19,2A,2A,2A,1A,7,1A,58,78.57,78.57,78.57,78.57,96.39,96.39,96.39,96.39,93.33,93.33,93.33,93.33,93.75,93.75,93.75,93.75,82.86,82.86,82.86,82.86,89.79,89.79,89.79,89.79
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),6A,A,5,25,25,25,25,25,25,25,25,25,25,25,25,1A,88,1AA,1A,14,1A,15,15,1A,2A,15,1A,2A,2A,2A,2A,2A,1A,1A,1A,67,85.71,85.71,85.71,85.71,1AA,1AA,1AA,1AA,94.29,94.29,94.29,94.29,99.58,99.58,99.58,99.58,95.71,95.71,95.71,95.71,95.29,95.29,95.29,95.29
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,2A,2A,22,21,A,A,A,A,A,A,A,A,1A,A,A,A,15,1A,13,11,9,19,15,1A,18,A,A,A,A,A,A,A,53,A,A,A,A,28.85,28.85,28.85,28.85,4.76,4.76,4.76,4.76,5A,5A,5A,5A,75.71,75.71,75.71,75.71,28.47,28.47,28.47,28.47
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,2A,21,A,A,A,A,A,A,A,A,A,1A,A,A,A,12,7,9,6,3,12,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,15.A8,15.A8,15.A8,15.A8,4.76,4.76,4.76,4.76,2A.42,2A.42,2A.42,2A.42,A,A,A,A,8.54,8.54,8.54,8.54
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),52,A,5,18,19,21,21,21,21,2A,2A,24,21,21,23,1A,91,86,6,15,1A,12,11,9,19,14,7,17,18,19,2A,2A,1A,9,8,5A,74.29,74.29,74.29,74.29,83.61,83.61,83.61,83.61,89.A5,89.A5,89.A5,89.A5,9A.83,9A.83,9A.83,9A.83,71.43,71.43,71.43,71.43,82.A9,82.A9,82.A9,82.A9
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),41,A,5,17,2A,2A,19,17,21,17,A,A,2A,A,23,1A,A,A,A,14,7,12,11,9,17,13,1A,19,16,15,2A,2A,1A,1A,9,54,58.57,58.57,58.57,58.57,58.69,58.69,58.69,58.69,4.76,4.76,4.76,4.76,88.33,88.33,88.33,88.33,77.14,77.14,77.14,77.14,55.A9,55.A9,55.A9,55.A9
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),57,A,5,2A,21,21,21,21,21,2A,21,21,21,21,23,1A,73,83,6,12,8,12,1A,1A,2A,14,1A,2A,18,19,2A,2A,1A,1A,1A,6A,81.43,81.43,81.43,81.43,84.26,84.26,84.26,84.26,79.A5,79.A5,79.A5,79.A5,92.92,92.92,92.92,92.92,85.71,85.71,85.71,85.71,84.17,84.17,84.17,84.17
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,A,A,,,A,A,,,A,A,,,A,A,,,A,A
