Section,FINAL Exam  (5799361),LG (5974114),Discussion: Student Introductions  (5799382),Discussion: Module 01: The Origins of Cities (5799380),Discussion: Module 02: Influence of Geography (5799379),Discussion: Module 03: Compare Sparta and Athens (5799378),Discussion: Module 04: Hinduism and Caste (5799377),Discussion: Module 06: Who was Julius Caesar? (5799375),Discussion: Module 07: Confucian and Qin Styles of Government (5799374),Discussion: Module 08: Charlemagne (5799373),Discussion: Module 09: the Koran and Bible (5799372),Discussion: Module 10: Aztecs and Incas (5799371),Discussion: Module 11: Mansa Musa (5799370),Discussion: Module 12: What was new about Renaissance era Europe?  (5799369),Discussion: Conclusions: Reflection (5799368),Pledge to Avoid Plagiarism (5799387),Document Analysis 1 (5799384),Document Analysis 2 (5799385),doc 2 assessment report (5799383),Quiz II: Avoid Plagiarism !  (5799352),Quiz I: Introduction (5799363),Quiz: Module 01: Origins (5799366),Quiz: Module 02-1: Four River Civs: Mesopotamia and Egypt (5799360),Quiz: Module 02-2: Four River Civs: India and China (5799353),Quiz: Module 03: Ancient Greece (5799364),Quiz: Module 04: India (5799350),Quiz: Module 05: Africa (5799351),Quiz: Module 06: Ancient Rome (5799367),Quiz: Module 07: China  (5799356),Quiz: Module 08: Christianity (5799365),Quiz: Module 09: Islam (5799357),Quiz: Module 10: Americas (5799358),Quiz: Module 11A: Africa (5799354),Quiz: Module 11B: Mongols (5799362),Quiz: Module 12: Rise of Europe (5799355),Mid-Term Exam  (5799359),Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Discussion Current Score,Discussion Unposted Current Score,Discussion Final Score,Discussion Unposted Final Score,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Mid-term Current Score,Mid-term Unposted Current Score,Mid-term Final Score,Mid-term Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,70,0,5,25,25,25,25,25,25,25,25,25,25,25,25,10,100,100,0,15,10,15,15,10,20,15,10,20,20,20,20,20,10,10,10,70,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),47,0,5,18,20,20,20,18,0,0,20,18,18,18,25,10,91,84,6,12,8,11,10,6,19,13,8,20,17,19,20,19,10,10,10,57,67.14,67.14,67.14,67.14,65.57,65.57,65.57,65.57,88.1,88.1,88.1,88.1,88.33,88.33,88.33,88.33,81.43,81.43,81.43,81.43,76.18,76.18,76.18,76.18
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),60,0,5,21,25,23,25,25,21,20,21,20,23,20,25,10,94,94,10,14,9,11,14,10,18,14,10,20,19,20,20,20,10,10,10,42,85.71,85.71,85.71,85.71,89.84,89.84,89.84,89.84,94.29,94.29,94.29,94.29,95.42,95.42,95.42,95.42,60,60,60,60,86.26,86.26,86.26,86.26
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,11.25,11.25,11.25,11.25,0,0,0,0,3.13,3.13,3.13,3.13
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,8.52,8.52,8.52,4.76,4.76,4.76,4.76,13.75,13.75,13.75,13.75,0,0,0,0,5.57,5.57,5.57,5.57
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),64,0,5,24,25,25,25,25,24,25,21,25,22,20,23,10,91,84,6,15,7,14,14,10,20,15,9,20,20,20,18,20,10,10,9,62,91.43,91.43,91.43,91.43,94.75,94.75,94.75,94.75,88.1,88.1,88.1,88.1,96.25,96.25,96.25,96.25,88.57,88.57,88.57,88.57,92.05,92.05,92.05,92.05
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),62,0,5,0,23,20,25,21,20,20,21,0,23,21,23,10,84,84,6,15,10,14,14,10,18,14,10,20,20,17,18,18,10,7,10,63,88.57,88.57,88.57,88.57,72.79,72.79,72.79,72.79,84.76,84.76,84.76,84.76,93.75,93.75,93.75,93.75,90,90,90,90,84.07,84.07,84.07,84.07
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,0,0,0,0,0,0,0,0,1.44,1.44,1.44,1.44
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),56,0,5,22,25,25,25,25,25,24,23,25,25,0,25,10,91,94,10,15,10,15,15,10,20,15,10,20,20,20,20,20,10,10,10,64,80,80,80,80,89.84,89.84,89.84,89.84,92.86,92.86,92.86,92.86,100,100,100,100,91.43,91.43,91.43,91.43,90.24,90.24,90.24,90.24
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,15,15,15,15,0,0,0,0,3.69,3.69,3.69,3.69
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),41,0,5,18,20,19,20,1,20,0,18,0,0,0,0,10,0,0,0,14,7,10,8,7,13,12,8,17,14,13,10,10,10,10,5,41,58.57,58.57,58.57,58.57,39.67,39.67,39.67,39.67,4.76,4.76,4.76,4.76,70,70,70,70,58.57,58.57,58.57,58.57,43.85,43.85,43.85,43.85
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),60,0,5,21,25,25,25,20,0,20,20,21,21,21,23,10,88,0,0,15,9,12,13,9,20,15,10,20,17,20,18,20,10,5,9,32,85.71,85.71,85.71,85.71,80.98,80.98,80.98,80.98,46.67,46.67,46.67,46.67,92.5,92.5,92.5,92.5,45.71,45.71,45.71,45.71,71.5,71.5,71.5,71.5
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,9,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,17.08,17.08,17.08,17.08,0,0,0,0,4.01,4.01,4.01,4.01
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,21,23,21,0,0,0,0,0,0,0,0,0,10,0,0,0,14,9,15,14,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.95,22.95,22.95,22.95,4.76,4.76,4.76,4.76,32.5,32.5,32.5,32.5,0,0,0,0,12.71,12.71,12.71,12.71
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,21,0,20,21,21,0,0,0,0,0,0,0,10,0,0,0,13,8,12,15,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.85,28.85,28.85,28.85,4.76,4.76,4.76,4.76,29.58,29.58,29.58,29.58,0,0,0,0,14.05,14.05,14.05,14.05
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),57,0,5,23,22,25,24,21,23,22,22,24,20,21,23,10,84,88,6,14,10,13,15,10,20,15,10,20,20,20,20,20,10,10,10,62,81.43,81.43,81.43,81.43,90.16,90.16,90.16,90.16,86.67,86.67,86.67,86.67,98.75,98.75,98.75,98.75,88.57,88.57,88.57,88.57,88.77,88.77,88.77,88.77
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),42,0,5,23,23,21,21,24,21,21,23,21,20,20,25,10,80,95,10,15,10,13,15,10,20,14,9,18,20,18,18,20,10,10,10,60,60,60,60,60,87.87,87.87,87.87,87.87,88.1,88.1,88.1,88.1,95.83,95.83,95.83,95.83,85.71,85.71,85.71,85.71,83.21,83.21,83.21,83.21
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),54,0,5,22,21,22,20,21,22,20,20,21,20,21,23,10,0,74,0,13,7,14,9,9,18,13,6,17,17,18,17,18,10,10,10,40,77.14,77.14,77.14,77.14,84.59,84.59,84.59,84.59,40,40,40,40,85.83,85.83,85.83,85.83,57.14,57.14,57.14,57.14,70.25,70.25,70.25,70.25
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),43,0,5,21,19,17,20,0,0,19,20,0,18,19,23,10,87,83,6,14,9,12,15,10,19,13,10,19,15,19,19,19,10,9,10,60,61.43,61.43,61.43,61.43,59.34,59.34,59.34,59.34,85.71,85.71,85.71,85.71,92.5,92.5,92.5,92.5,85.71,85.71,85.71,85.71,73.96,73.96,73.96,73.96
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),60,0,5,21,20,21,21,21,20,20,20,20,20,21,0,10,94,94,10,15,9,13,13,10,19,14,10,19,20,19,19,19,9,8,10,66,85.71,85.71,85.71,85.71,75.41,75.41,75.41,75.41,94.29,94.29,94.29,94.29,94.17,94.17,94.17,94.17,94.29,94.29,94.29,94.29,86.89,86.89,86.89,86.89
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,12,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,8.2,8.2,8.2,0,0,0,0,20,20,20,20,0,0,0,0,5.46,5.46,5.46,5.46
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,19,19,18,0,16,0,0,0,0,0,0,0,10,0,0,0,13,6,13,9,7,14,14,9,14,0,0,0,0,0,0,0,0,0,0,0,0,25.25,25.25,25.25,25.25,4.76,4.76,4.76,4.76,41.25,41.25,41.25,41.25,0,0,0,0,14.71,14.71,14.71,14.71
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),20,0,5,19,24,25,20,19,20,21,20,20,20,21,23,10,93,95,10,15,10,14,15,10,20,15,10,20,19,20,20,20,10,10,10,66,28.57,28.57,28.57,28.57,84.26,84.26,84.26,84.26,94.29,94.29,94.29,94.29,99.17,99.17,99.17,99.17,94.29,94.29,94.29,94.29,78.87,78.87,78.87,78.87
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,1.64,1.64,0,0,0,0,1.25,1.25,1.25,1.25,0,0,0,0,0.68,0.68,0.68,0.68
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,9,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,15.83,15.83,15.83,15.83,0,0,0,0,3.82,3.82,3.82,3.82
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),55,0,5,20,22,25,25,25,22,25,25,25,25,25,25,10,94,92,6,14,9,15,12,8,18,14,10,19,19,20,20,20,10,7,10,58,78.57,78.57,78.57,78.57,96.39,96.39,96.39,96.39,93.33,93.33,93.33,93.33,93.75,93.75,93.75,93.75,82.86,82.86,82.86,82.86,89.79,89.79,89.79,89.79
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),60,0,5,25,25,25,25,25,25,25,25,25,25,25,25,10,88,100,10,14,10,15,15,10,20,15,10,20,20,20,20,20,10,10,10,67,85.71,85.71,85.71,85.71,100,100,100,100,94.29,94.29,94.29,94.29,99.58,99.58,99.58,99.58,95.71,95.71,95.71,95.71,95.29,95.29,95.29,95.29
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,20,20,22,21,0,0,0,0,0,0,0,0,10,0,0,0,15,10,13,11,9,19,15,10,18,0,0,0,0,0,0,0,53,0,0,0,0,28.85,28.85,28.85,28.85,4.76,4.76,4.76,4.76,50,50,50,50,75.71,75.71,75.71,75.71,28.47,28.47,28.47,28.47
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,0,20,21,0,0,0,0,0,0,0,0,0,10,0,0,0,12,7,9,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,15.08,15.08,15.08,4.76,4.76,4.76,4.76,20.42,20.42,20.42,20.42,0,0,0,0,8.54,8.54,8.54,8.54
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),52,0,5,18,19,21,21,21,21,20,20,24,21,21,23,10,91,86,6,15,10,12,11,9,19,14,7,17,18,19,20,20,10,9,8,50,74.29,74.29,74.29,74.29,83.61,83.61,83.61,83.61,89.05,89.05,89.05,89.05,90.83,90.83,90.83,90.83,71.43,71.43,71.43,71.43,82.09,82.09,82.09,82.09
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),41,0,5,17,20,20,19,17,21,17,0,0,20,0,23,10,0,0,0,14,7,12,11,9,17,13,10,19,16,15,20,20,10,10,9,54,58.57,58.57,58.57,58.57,58.69,58.69,58.69,58.69,4.76,4.76,4.76,4.76,88.33,88.33,88.33,88.33,77.14,77.14,77.14,77.14,55.09,55.09,55.09,55.09
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),57,0,5,20,21,21,21,21,21,20,21,21,21,21,23,10,73,83,6,12,8,12,10,10,20,14,10,20,18,19,20,20,10,10,10,60,81.43,81.43,81.43,81.43,84.26,84.26,84.26,84.26,79.05,79.05,79.05,79.05,92.92,92.92,92.92,92.92,85.71,85.71,85.71,85.71,84.17,84.17,84.17,84.17
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
